,OVF,RIASZ,RVTV
2020-01-01,0,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,1
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,2
2020-01-14,0,0,27
2020-01-15,0,0,29
2020-01-16,0,0,20
2020-01-17,0,0,8
2020-01-18,0,0,2
2020-01-19,0,0,0
2020-01-20,0,0,27
2020-01-21,0,0,72
2020-01-22,0,0,120
2020-01-23,0,0,65
2020-01-24,0,0,45
2020-01-25,0,0,16
2020-01-26,0,0,12
2020-01-27,0,0,52
2020-01-28,0,0,71
2020-01-29,0,0,51
2020-01-30,0,0,51
2020-01-31,0,0,25
2020-02-01,0,0,6
2020-02-02,0,0,8
2020-02-03,4,0,32
2020-02-04,0,0,32
2020-02-05,4,0,21
2020-02-06,3,0,14
2020-02-07,0,0,28
2020-02-08,0,0,13
2020-02-09,0,0,6
2020-02-10,0,0,99
2020-02-11,0,0,146
2020-02-12,0,0,146
2020-02-13,1,0,128
2020-02-14,3,0,125
2020-02-15,0,0,30
2020-02-16,1,0,23
2020-02-17,2,0,214
2020-02-18,3,0,206
2020-02-19,1,0,192
2020-02-20,0,0,141
2020-02-21,0,0,194
2020-02-22,0,0,17
2020-02-23,0,0,18
2020-02-24,0,0,119
2020-02-25,0,0,55
2020-02-26,0,0,58
2020-02-27,0,0,23
2020-02-28,0,0,27
2020-02-29,0,0,1
2020-03-01,0,0,3
2020-03-02,0,0,6
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,1
2020-03-24,3,0,0
2020-03-25,6,0,0
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,52,0,34
2020-04-02,27,0,88
2020-04-03,33,0,37
2020-04-04,1,0,12
2020-04-05,3,0,7
2020-04-06,33,0,48
2020-04-07,30,0,80
2020-04-08,31,0,82
2020-04-09,31,0,55
2020-04-10,0,0,27
2020-04-11,2,0,21
2020-04-12,0,0,29
2020-04-13,1,0,36
2020-04-14,34,0,109
2020-04-15,20,0,83
2020-04-16,23,0,67
2020-04-17,21,0,54
2020-04-18,0,0,8
2020-04-19,1,0,70
2020-04-20,31,0,164
2020-04-21,33,0,123
2020-04-22,26,0,193
2020-04-23,34,0,155
2020-04-24,34,0,176
2020-04-25,1,0,58
2020-04-26,0,0,46
2020-04-27,49,0,191
2020-04-28,35,0,199
2020-04-29,22,0,152
2020-04-30,11,0,107
2020-05-01,4,0,43
2020-05-02,4,0,75
2020-05-03,4,0,76
2020-05-04,27,0,199
2020-05-05,22,0,508
2020-05-06,22,0,750
2020-05-07,29,0,773
2020-05-08,21,0,675
2020-05-09,5,0,272
2020-05-10,0,0,248
2020-05-11,21,0,827
2020-05-12,35,0,1279
2020-05-13,44,0,1476
2020-05-14,23,0,1231
2020-05-15,29,0,815
2020-05-16,3,0,439
2020-05-17,6,0,440
2020-05-18,28,0,979
2020-05-19,42,0,974
2020-05-20,41,0,977
2020-05-21,57,0,850
2020-05-22,26,0,711
2020-05-23,3,0,294
2020-05-24,3,0,270
2020-05-25,22,0,587
2020-05-26,34,0,755
2020-05-27,36,0,505
2020-05-28,27,0,520
2020-05-29,32,0,397
2020-05-30,3,0,277
2020-05-31,10,0,240
2020-06-01,7,0,293
2020-06-02,54,7,643
2020-06-03,60,7,901
2020-06-04,47,5,784
2020-06-05,53,2,259
2020-06-06,5,0,58
2020-06-07,5,0,52
2020-06-08,59,0,197
2020-06-09,60,0,359
2020-06-10,91,13,640
2020-06-11,93,240,852
2020-06-12,53,290,645
2020-06-13,6,11,235
2020-06-14,7,8,161
2020-06-15,72,179,787
2020-06-16,119,188,1054
2020-06-17,104,186,1070
2020-06-18,100,150,916
2020-06-19,82,81,588
2020-06-20,15,3,205
2020-06-21,19,2,227
2020-06-22,80,100,644
2020-06-23,124,130,754
2020-06-24,108,224,819
2020-06-25,109,169,845
2020-06-26,93,94,630
2020-06-27,7,9,150
2020-06-28,35,2,225
2020-06-29,141,135,585
2020-06-30,114,134,583
2020-07-01,0,160,517
2020-07-02,0,123,592
2020-07-03,0,86,344
2020-07-04,0,5,144
2020-07-05,0,4,164
2020-07-06,0,75,429
2020-07-07,0,144,656
2020-07-08,0,125,522
2020-07-09,0,117,544
2020-07-10,0,63,339
2020-07-11,0,2,172
2020-07-12,0,7,170
2020-07-13,0,96,392
2020-07-14,0,125,465
2020-07-15,0,111,445
2020-07-16,0,101,504
2020-07-17,0,72,396
2020-07-18,0,2,156
2020-07-19,0,4,91
2020-07-20,0,73,472
2020-07-21,0,118,585
2020-07-22,0,130,583
2020-07-23,0,145,455
2020-07-24,0,61,266
2020-07-25,0,5,86
2020-07-26,0,11,111
2020-07-27,0,106,430
2020-07-28,0,141,435
2020-07-29,0,164,444
2020-07-30,0,129,536
2020-07-31,0,51,258
2020-08-01,0,4,72
2020-08-02,0,9,81
2020-08-03,0,69,301
2020-08-04,0,155,432
2020-08-05,0,108,398
2020-08-06,0,137,286
2020-08-07,0,58,258
2020-08-08,0,2,106
2020-08-09,0,1,155
2020-08-10,0,73,335
2020-08-11,0,132,434
2020-08-12,0,111,426
2020-08-13,0,61,484
2020-08-14,0,45,322
2020-08-15,0,4,131
2020-08-16,0,2,163
2020-08-17,0,59,414
2020-08-18,0,69,528
2020-08-19,0,90,574
2020-08-20,0,2,248
2020-08-21,0,9,226
2020-08-22,0,14,173
2020-08-23,0,7,235
2020-08-24,0,78,577
2020-08-25,0,120,562
2020-08-26,0,104,677
2020-08-27,0,122,468
2020-08-28,0,60,485
2020-08-29,0,50,436
2020-08-30,0,7,261
2020-08-31,0,93,716
2020-09-01,40,178,638
2020-09-02,26,144,789
2020-09-03,14,133,955
2020-09-04,11,93,837
2020-09-05,0,5,306
2020-09-06,2,8,266
2020-09-07,20,136,903
2020-09-08,13,126,988
2020-09-09,17,152,1094
2020-09-10,3,195,1225
2020-09-11,5,85,738
2020-09-12,0,8,491
2020-09-13,1,7,272
2020-09-14,11,143,996
2020-09-15,3,168,1070
2020-09-16,8,203,867
2020-09-17,6,160,793
2020-09-18,5,188,1122
2020-09-19,0,10,567
2020-09-20,2,12,439
2020-09-21,7,197,1261
2020-09-22,4,177,1451
2020-09-23,3,207,1200
2020-09-24,10,227,1348
2020-09-25,4,125,1202
2020-09-26,1,15,645
2020-09-27,0,19,733
2020-09-28,6,165,1851
2020-09-29,5,238,1913
2020-09-30,9,200,1842
2020-10-01,32,159,1234
2020-10-02,11,117,856
2020-10-03,2,7,287
2020-10-04,2,10,320
2020-10-05,19,119,957
2020-10-06,18,114,1206
2020-10-07,16,870,1289
2020-10-08,19,737,1229
2020-10-09,9,345,773
2020-10-10,7,43,338
2020-10-11,0,25,413
2020-10-12,37,569,1231
2020-10-13,36,591,1654
2020-10-14,13,435,1513
2020-10-15,13,438,1492
2020-10-16,20,260,1026
2020-10-17,9,44,504
2020-10-18,1,22,455
2020-10-19,39,355,1148
2020-10-20,35,372,1325
2020-10-21,23,394,1341
2020-10-22,21,230,1093
2020-10-23,3,29,609
2020-10-24,6,31,364
2020-10-25,7,18,507
2020-10-26,36,236,1224
2020-10-27,35,306,1384
2020-10-28,36,288,1472
2020-10-29,57,286,1394
2020-10-30,45,175,1558
2020-10-31,20,42,442
2020-11-01,13,14,326
2020-11-02,216,266,988
2020-11-03,234,265,1013
2020-11-04,165,241,1058
2020-11-05,121,279,1093
2020-11-06,108,178,939
2020-11-07,3,23,329
2020-11-08,10,32,273
2020-11-09,112,197,1012
2020-11-10,127,349,1636
2020-11-11,104,355,1459
2020-11-12,93,391,1413
2020-11-13,73,176,975
2020-11-14,8,34,376
2020-11-15,3,22,422
2020-11-16,117,285,1317
2020-11-17,108,395,1545
2020-11-18,93,380,1702
2020-11-19,73,359,1646
2020-11-20,50,249,1462
2020-11-21,6,31,487
2020-11-22,9,48,542
2020-11-23,92,359,2193
2020-11-24,82,469,2483
2020-11-25,83,433,2596
2020-11-26,70,409,2822
2020-11-27,55,378,2749
2020-11-28,7,45,1019
2020-11-29,15,68,1051
2020-11-30,58,395,3034
2020-12-01,0,81,477
2020-12-02,0,41,375
2020-12-03,0,51,522
2020-12-04,0,70,2547
2020-12-05,0,15,783
2020-12-06,0,13,638
2020-12-07,2,71,2284
2020-12-08,0,49,2262
2020-12-09,6,50,2332
2020-12-10,0,63,2006
2020-12-11,0,37,1524
2020-12-12,0,32,948
2020-12-13,0,2,413
2020-12-14,0,41,1418
2020-12-15,0,76,2314
2020-12-16,0,42,1271
2020-12-17,0,61,1190
2020-12-18,0,25,856
2020-12-19,0,1,292
2020-12-20,0,8,237
2020-12-21,0,40,822
2020-12-22,0,47,1057
2020-12-23,0,51,893
2020-12-24,0,0,227
2020-12-25,0,1,302
2020-12-26,0,1,234
2020-12-27,0,4,265
2020-12-28,0,56,1076
2020-12-29,0,56,1184
2020-12-30,0,41,1203
2020-12-31,0,35,749
